author,lab,open_weights_default
openai,OpenAI,false
~openai,OpenAI,false
anthropic,Anthropic,false
~anthropic,Anthropic,false
google,Google,false
~google,Google,false
x-ai,xAI,false
xai,xAI,false
meta,Meta,true
meta-llama,Meta,true
deepseek,DeepSeek,true
qwen,Qwen,false
alibaba,Qwen,false
mistralai,Mistral,false
mistral,Mistral,false
z-ai,Z.ai,false
~z-ai,Z.ai,false
zai,Z.ai,false
moonshotai,Moonshot,true
minimax,MiniMax,false
stepfun,StepFun,false
nvidia,NVIDIA,true
tencent,Tencent,true
bytedance,ByteDance,false
bytedance-seed,ByteDance,false
xiaomi,Xiaomi,true
thinkingmachines,Thinking Machines,true
amazon,Amazon,false
cohere,Cohere,false
perplexity,Perplexity,false
inclusionai,inclusionAI,true
poolside,Poolside,true
nousresearch,Nous,true
microsoft,Microsoft,true
ibm-granite,IBM,true
kwaipilot,Kwai,true
inception,Inception,false
sakana,Sakana,true
morph,Morph,false
relace,Relace,false
arcee-ai,Arcee,true
interfaze,Interfaze,false
liquid,Liquid,true
ai21,AI21,false
openrouter,OpenRouter,false
